State/Union Territory,Train Number,Train Name,Route,Departure Time,Arrival Time,Train Type,Status,Capacity,Platform Number,Distance (km)
Andhra Pradesh,12801,Visakhapatnam-Howrah Express,Visakhapatnam to Howrah,16:30,10:15,Superfast,Active,1000,5,895
Arunachal Pradesh,15603,Naharlagun Express,Naharlagun to Guwahati,6:00,10:30,Express,Active,800,2,510
Assam,15959,Kaziranga Express,Guwahati to Dibrugarh,19:00,4:30,Express,Active,1100,3,450
Bihar,12309,Patna Rajdhani Express,New Delhi to Patna,18:10,6:10,Rajdhani,Active,1200,1,1200
Chhattisgarh,12809,Raipur-LTT Express,Raipur to Lokmanya Tilak (Mumbai),19:10,7:00,Superfast,Active,950,8,1260
Goa,10107,Madgaon-Mumbai Express,Madgaon to Mumbai,19:15,6:00,Express,Active,850,4,765
Gujarat,12907,Gandhinagar Capital Express,Gandhinagar to Mumbai,15:45,5:15,Superfast,Active,950,1,525
Haryana,12165,Haryana Mail,Ambala to Mumbai,18:30,7:50,Mail,Active,1200,6,1480
Himachal Pradesh,52459,Shimla Kalka Heritage Train,Kalka to Shimla,5:45,9:15,Passenger,Active,200,1,96
Jharkhand,13307,Ranchi Express,Ranchi to Howrah,12:00,18:30,Express,Active,1000,4,435
Karnataka,12007,Mysuru-Bangalore Shatabdi,Mysuru to Bangalore,6:00,9:00,Shatabdi,Active,1100,2,150
Kerala,12203,Trivandrum Rajdhani Express,New Delhi to Trivandrum,22:00,15:00,Rajdhani,Active,1200,4,2850
Madhya Pradesh,12187,Bhopal Shatabdi Express,Bhopal to New Delhi,7:30,13:05,Shatabdi,Active,1100,3,700
Maharashtra,11007,Deccan Queen Express,Mumbai to Pune,17:55,22:05,Express,Active,850,6,190
Manipur,15601,Imphal Mail,Imphal to Silchar,6:30,13:45,Mail,Active,800,2,390
Meghalaya,15952,Shillong Express,Guwahati to Shillong,5:45,10:30,Passenger,Active,500,1,105
Mizoram,55602,Mizoram Express,Aizawl to Guwahati,10:30,14:15,Express,Active,850,4,450
Nagaland,15647,Dimapur-Kolkata Express,Dimapur to Kolkata,8:10,13:10,Express,Active,900,5,800
Odisha,18477,Puri-Haridwar Kalinga Utkal Express,Puri to Haridwar,17:00,7:30,Express,Active,1100,3,1600
Punjab,12001,Amritsar Shatabdi Express,New Delhi to Amritsar,7:00,15:10,Shatabdi,Active,1200,4,450
Rajasthan,12015,Ajmer Shatabdi Express,New Delhi to Ajmer,6:05,13:30,Shatabdi,Active,1200,1,300
Tamil Nadu,12601,Chennai-Mumbai Mail,Chennai to Mumbai,18:00,8:30,Mail,Active,950,8,1300
Telangana,12703,Hyderabad-Mumbai Express,Hyderabad to Mumbai,21:30,5:00,Express,Active,950,7,700
Tripura,15655,Agartala-Dimapur Express,Agartala to Dimapur,6:00,12:30,Express,Active,850,3,350
Uttar Pradesh,12301,Lucknow Rajdhani Express,New Delhi to Lucknow,17:15,6:00,Rajdhani,Active,1200,1,550
Uttarakhand,15013,Naini Express,New Delhi to Nainital,7:00,15:00,Express,Active,850,2,300
West Bengal,12313,Howrah Rajdhani Express,New Delhi to Howrah,16:55,6:25,Rajdhani,Active,1200,6,1700
Chandigarh,12053,Chandigarh-Kolkata Express,Chandigarh to Kolkata,13:00,19:10,Express,Active,900,3,1650
Dadra and Nagar Haveli,11021,Surat-Dadar Express,Surat to Dadar,6:30,11:15,Express,Active,800,2,200
Daman and Diu,19005,Mumbai-Diu Express,Mumbai to Diu,18:30,6:00,Express,Active,700,5,480
